Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Arm Length","Base Size"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13003-ND,13003,Luxo,ARTICULATING ARM 25"",0,0,"Obsolete","0","1","LM-2","Obsolete","Arm, Articulating","25.0"" (635.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13102-ND,13102,Luxo,ARTICULATING ARM 25"",0,0,"Obsolete","0","1","LM-2","Obsolete","Arm, Articulating","25.0"" (635.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13104-ND,13104,Luxo,ARTICULATING ARM 25"",0,0,"Obsolete","0","1","LM-2","Obsolete","Arm, Articulating","25.0"" (635.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/LM%20Microphone%20Arms.pdf,-,13106-ND,13106,Luxo,ARTICULATING ARM 25"",0,0,"Obsolete","0","1","LM-2","Obsolete","Arm, Articulating","25.0"" (635.0mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/KM%20Mic%20Arms.pdf,-,13609-ND,13609,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","KM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/KM%20Mic%20Arms.pdf,-,13611-ND,13611,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","KM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/KM%20Mic%20Arms.pdf,-,13605-ND,13605,Luxo,ARTICULATING ARM 41"",0,0,"Obsolete","0","1","KM-1","Obsolete","Arm, Articulating","41.0"" (1041.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/Magnification_Prod_Lines.pdf,-,50020-ND,50020,Luxo,EDGE MOUNT BRACKET,0,0,"Obsolete","0","1","-","Obsolete","Mount, Edge Bracket","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/KM%20Mic%20Arms.pdf,-,50006BK-ND,50006BK,Luxo,ARM RISER MOUNT 12"",0,0,"Obsolete","0","1","-","Obsolete","Mount, Arm Riser","12.0"" (304.8mm)","-"
-,-,50024LG-ND,50024LG,Luxo,WALL MOUNT BRACKET,0,0,"Obsolete","0","1","-","Obsolete","Mount, Wall Bracket","-","-"
