Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cleaner, Treatment Type","Usage","Specifications","Quantity"
http://documents.desco.com/PDF/TB-7041.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_10566.jpg,16-1527-ND,10566,Desco,CLNR FLR NTRL STTGRD 5GAL BOX,3,0,"188.27000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Antistatic","Floors","Anti-Static","5 Gallon"
http://www.aclstaticide.com/datasheets/3030TDS_16.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_3030G.jpg,ST1098-ND,3030G,ACL Staticide Inc,COATING ANTISTAT MULTI SURF 1GAL,5,0,"565.00000","0","1","Bottle","Staticide® 30","Active","Coating, Antistatic","Multiple Surfaces","General Purpose","1 Gallon"
http://www.aclstaticide.com/pdf/ACL-Staticide-Static-Control-Brochure-2014.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_6x001.jpg,ST1160-ND,64001,ACL Staticide Inc,STATICIDE ESD SAFETY SHIELD GAL,2,0,"588.00000","0","1","Bottle","Staticide®","Active","Coating, Antistatic","Plastic Surfaces","Abrasion Resistant, Plastic Safe, Solvent Resistant, Translucent","1 Gallon"
https://www.techspray.com/Content/msds/23662367_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2366-DEK.jpg,1873-1096-ND,2366-DEK,Techspray,TECH ROLL ULTRA DEK PRINTERS,49,0,"25.31000","0","1","-","-","Active","Wipes, Dry","Moisture Absorption","Low Lint","-"
http://documents.desco.com/PDF/TB-7000.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_10439.JPG,16-1343-ND,10439,Desco,REZTORE SRFC MAT CLNR 16OZ 4PK,18,0,"41.48000","0","1","Bottle, Spray","Reztore™","Obsolete","Liquid, Antistatic","Electronic Equipment, Mats, Surfaces","Anti-Static","4 (16 Ounces ea)"
http://documents.desco.com/PDF/TB-7062.pdf,-,16-1586-ND,10446,Desco,ANTISTATIC CLEANER AL FREE 1 QT,23,0,"11.78000","0","1","Bottle, Spray","Reztore®","Active","Cleaner","Mats, Surfaces","Silicone-Free","1"
https://www.techspray.com/content/msds/TS-1733_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1733-QT.jpg,1873-1008-ND,1733-QT,Techspray,ZERO CHARGE MAT & TABLE TOP CLEA,5,0,"14.26000","0","1","-","-","Active","Cleaner, Antistatic","Mats, Surfaces","Anti-Static","1 Quart"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_829-4x4.jpg,473-1176-ND,829-4X4,MG Chemicals,TWILLWIPES 4X4"" 100% COTTON,24,0,"16.27000","0","1","Bulk","-","Active","Wipes, Dry","Moisture Absorption","Anti-Static, Class 1000 Compliant, Low Lint, Nonabrasive, Solvent Resistant","1 (100 ea 4"" L x 4"" W)"
http://www.aclstaticide.com/datasheets/6001_6002_TDS_16.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/MFG_6002.jpg,ST1062-ND,6002,ACL Staticide Inc,CLEANER STATICIDE CONDUCTVE 1GAL,0,0,"23.50000","0","1","Bottle","Staticide®","Active","Cleaner, Antistatic","Mats, Surfaces","Anti-Static, Nonabrasive","1 Gallon"
http://documents.desco.com/PDF/TB-7046.pdf,//media.digikey.com/photos/Desco%20Photos/35661.jpg,16-1236-ND,35661,MENDA/EasyBraid,LOTION HAND REZTORE 32OZ W/PUMP,4,0,"24.74000","0","1","Bottle, Pump","Reztore™, Menda","Active","Lotion, Hand","Moisturizing, Static Dissipation","Anti-Static, Non-Combustible","1 Quart"
