Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Material","Handle - Material","Features","Handle - Length","Quantity"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW6WFCAS.jpg,EB1169-ND,SW6WFCAS-100,MENDA/EasyBraid,SWAB 6"" STA DIS FM/CTN 100/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","Wood","Antistatic","6.00"" (152.4mm)","100"
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/Wrapped_Foam_Swabs.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/23110.JPG,23110-ND,23110,Chemtronics,SWAB CLNRM 6"" PU/COTTONTIP 500PC,0,0,"Obsolete","0","5","Coventry™","Obsolete","Swab, Single Head","Foam, Cotton","Wood","Wrapped Head","4.90"" (125.0mm)","500"
-,-,815-50-ND,815-50,MG Chemicals,SWABS FIBER 1.4MM 50PC/PK,0,0,"Obsolete","0","5","-","Obsolete","Swab, Single Head","Foam","Nylon, Glass Filled","Abrasion Resistant, Lint Free","6.00"" (152.4mm)","50"
-,-,815-1000-ND,815-1000,MG Chemicals,SWABS FIBER 1.4MM 1KPC/PK,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","Nylon, Glass Filled","Abrasion Resistant, Lint Free","6.00"" (152.4mm)","1000"
-,-,816-50-ND,816-50,MG Chemicals,SWABS FIBER 2.5MM 50PC/PK,0,0,"Obsolete","0","5","-","Obsolete","Swab, Single Head","Foam","Nylon, Glass Filled","Abrasion Resistant, Lint Free","6.00"" (152.4mm)","50"
-,-,816-1000-ND,816-1000,MG Chemicals,SWABS FIBER 2.5MM 1KPC/PK,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","Nylon, Glass Filled","Abrasion Resistant, Lint Free","6.00"" (152.4mm)","1000"
http://documents.desco.com/PDF/35686.pdf,//media.digikey.com/Photos/Desco%20Photos/35685.jpg,35685-ND,35685,Desco,BRUSH DISSIPATIVE RND NYLON 1/4"",0,0,"Obsolete","0","1","Menda®","Obsolete","Brush, Single Head","Nylon","Polypropylene","Conductive Handle, Dissipative Head","-","1"
-,-,8241S-5-ND,8241S-5,MG Chemicals,SWAB SELF SATURATING ALCOHOL,0,0,"Obsolete","0","5","-","Obsolete","Swab, Single Head","Foam","Popule","Pre-Moistened (Isopropyl Alcohol)","4.00"" (101.6mm)","5"
-,-,8241S-25-ND,8241S-25,MG Chemicals,SWAB SELF SATURATING ALCOHOL,0,0,"Obsolete","0","2","-","Obsolete","Swab, Single Head","Foam","Popule","Pre-Moistened (Isopropyl Alcohol)","4.00"" (101.6mm)","25"
-,-,8241S-50-ND,8241S-50,MG Chemicals,SWAB SELF SATURATING ALCOHOL,0,0,"Obsolete","0","2","-","Obsolete","Swab, Single Head","Foam","Popule","Pre-Moistened (Isopropyl Alcohol)","4.00"" (101.6mm)","50"
