Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mat Type","Shape","Length","Width","Thickness","Color","Material","Number of Layers","Features"
http://documents.desco.com/PDF/pm-112.pdf,//media.digikey.com/renders/Desco%20Renders/Gray.jpg,42530-ND,42530,Desco,TABLE MAT VINYL GRAY 50'X4',0,0,"1428.78000","0","1","Statfree Z2™","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.13"" (3.30mm)","Gray","Vinyl","3","Dissipative"
-,-,40958-ND,40958,Desco,"RUBBER, STATFREE I, CONDUCTIVE F",0,0,"1454.45667","0","3","Statfree®","Active","-","-","-","-","-","-","Rubber","-","Conductive"
http://documents.esdsystems.com/PDF/WFseries.pdf,-,96620-ND,96620,Desco,ROLL WF SERIES BLACK BLUE 156X48,0,0,"1460.22000","0","1","WF","Active","Floor Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.156"" (3.96mm)","Black and Blue","Rubber","1","Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8085Bx-Series.jpg,8085BR4840-ND,8085BR4840,ACL Staticide Inc,MAT TABLE ESD 48""X40' LT BLUE,0,0,"1490.01000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.08"" (2.03mm)","Blue, Light","Elastomer","2","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8185Gx-Series.jpg,8185GR4840-ND,8185GR4840,ACL Staticide Inc,MAT TABLE ESD 48""X40' GRN,0,0,"1490.01000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.08"" (2.03mm)","Green","Elastomer","2","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8285RBx-Series.jpg,8285RBR4840-ND,8285RBR4840,ACL Staticide Inc,MAT TABLE ESD 48""X40' RYL BLU,0,0,"1490.01000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.08"" (2.03mm)","Blue, Royal","Elastomer","2","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8385DGYx-Series.jpg,8385DGYR4840-ND,8385DGYR4840,ACL Staticide Inc,MAT TABLE ESD 48""X40' DRK GRY,0,0,"1490.01000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.08"" (2.03mm)","Gray, Dark","Elastomer","2","Conductive, Dissipative"
http://documents.desco.com/PDF/pm-104.pdf,//media.digikey.com/renders/Desco%20Renders/Blue.jpg,66095-ND,66095,Desco,RUBBER DISS BLUE .060 48X40',0,0,"1501.10000","0","1","Statfree T2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.06"" (1.52mm)","Blue","Rubber","2","Conductive, Dissipative"
http://documents.desco.com/PDF/pm-104.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_66080.jpg,66100-ND,66100,Desco,TABLE MAT RUBBER GRAY 40'X4',0,0,"1501.10000","0","1","Statfree T2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.06"" (1.52mm)","Gray, Dark","Rubber","2","Conductive, Dissipative"
http://documents.desco.com/PDF/pm-104.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_66081.jpg,66101-ND,66101,Desco,MAT RUBBER DRK BLUE 48""X40',0,0,"1501.10000","0","1","Statfree T2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","4' (1.22m)","0.06"" (1.52mm)","Blue, Dark","Rubber","2","Conductive, Dissipative"
