Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Specifications"
http://documents.desco.com/PDF/tb-2040.pdf,//media.digikey.com/Photos/Desco%20Photos/98256.jpg,98256-ND,98256,Desco,ADAPTER AC COMBO TESTER 120V,9,0,"22.07000","0","1","-","Active","AC Adapter","Footwear, Wrist Strap Tester","120VAC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-f_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Photos/ER-F12FX5.JPG,1110-2579-ND,ER-F12FX5,Panasonic Industrial Automation Sales,REPLACEMENT FILTER-ER-F12 5PC,87,0,"27.00000","0","1","ER-F","Active","Filter","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-tf_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-TFANT.jpg,1110-1015-ND,ER-TFANT,Panasonic Industrial Automation Sales,DISCHARGE NEEDLE UNIT ER-TF,28,0,"42.00000","0","1","ER-TF","Active","Emitter Pins","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-q_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-QANT.jpg,1110-1007-ND,ER-QANT,Panasonic Industrial Automation Sales,DISCHARGE NEEDLE UNIT FOR ER-Q,15,0,"50.00000","0","1","ER-Q","Active","Emitter Pins","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-f_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-FAPS-EX.jpg,1110-1011-ND,ER-FAPS-EX,Panasonic Industrial Automation Sales,AC ADAPTER FOR ER-F12,15,0,"100.00000","0","1","ER-F","Active","AC Adapter","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-XCC5.jpg,1110-1507-ND,ER-XCC5,Panasonic Industrial Automation Sales,CABLE 5M CONNECTOR FOR ER-X,3,0,"110.00000","0","1","ER-X","Active","Cable","ER-X Ionizers","16.40'"
http://documents.staticcontrol.com/PDF/980-980E-Ionized-Air-Gun-User-Guide.pdf,//media.digikey.com/Photos/SCS/980-S.JPG,SCP587-ND,980-S,SCS,FOOT SWITCH (FOR 980 IONIZED AIR,4,0,"117.64000","0","1","-","Active","Foot Switch","980 Ionizer Gun","Ergonomic"
http://documents.desco.com/PDF/41403.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_41403.jpg,16-1325-ND,41403,Desco,PCB WASH TRAY LINER,21,0,"117.86000","0","1","-","Active","Liner","PCB Cleaning","18"" L x 18"" W, Trim to Fit, Nitrile Rubber"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-XAPS.jpg,1110-1503-ND,ER-XAPS,Panasonic Industrial Automation Sales,AC ADAPTER FOR ER-X SERIES,2,0,"135.00000","0","1","ER-X","Active","AC Adapter","ER-X Ionizers","24V"
http://documents.staticcontrol.com/PDF/701_Test_Kit_User_Guide.pdf,//media.digikey.com/Photos/3M%20Photos/701-W.JPG,SCP657-ND,701-W,SCS,TEST WEIGHT 5 LBS,2,0,"166.27000","0","1","701","Active","Test Weight","Megohmmeter: 701-M","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/ef-s1_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Photos/EF-S1C.jpg,1110-2571-ND,EF-S1C,Panasonic Industrial Automation Sales,SENSOR CONTROLLER 24VDC,7,0,"274.00000","0","1","EF-S1","Active","Controller","EF-S1HS","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-v_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Photos/ER-VAB032.jpg,1110-2584-ND,ER-VAB032,Panasonic Industrial Automation Sales,STRAIGHT BAR NOZZLE 320MM,5,0,"318.00000","0","1","ER-V","Active","Nozzle","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/ef-s1_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Photos/EF-S1HS.jpg,1110-2572-ND,EF-S1HS,Panasonic Industrial Automation Sales,SENSOR IN-LINE STATIC DETECTION,4,0,"413.00000","0","1","EF-S1","Active","Sensor","EF-S1C","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-f_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-F12ANT.jpg,1110-1010-ND,ER-F12ANT,Panasonic Industrial Automation Sales,DISCHARGE NEEDLE UNIT ER-F12,4,0,"100.00000","0","1","ER-F","Active","Emitter Pins","-","-"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-XAPS-EX.jpg,1110-1504-ND,ER-XAPS-EX,Panasonic Industrial Automation Sales,AC ADAPTER FOR ER-X SERIES,2,0,"135.00000","0","1","ER-X","Active","AC Adapter","ER-X Ionizers","24V"
http://documents.desco.com/PDF/07473.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_07473.jpg,16-1425-ND,07473,Desco,BUS SHOP TRAVELER 9.5X11"",555,0,"0.39000","0","1","Statfree®","Active","Protective Sleeve","Storing Required Documents in ESD Area","8.75"" x 11.25"", 100 Clear Sheets, Dissipative"
https://multimedia.3m.com/mws/media/1565482O/3m-self-stick-liquid-protection-fabric-brochure.pdf,//media.digikey.com/Photos/3M%20Photos/TCDTBL-RW-56%5E-X-10FT.JPG,3M162756-ND,TCDTBL-6""DIA-50/PK,3M (TC),LIQUID PROTECTION FABRIC 6"",300,0,"0.61000","0","1","-","Active","Self Stick Fabric","Liquids","6"" Dia, Adhesive Back, Blue, 50 Pieces"
